answer,question
"ISSUE
We have some users that are attempting to open pdfs secured with Intralinks and they’re seeing the following message when opening in Power PDF. Is it not possible to open these files or is there an adjustment we can make?
SCREENSHOT","When opening Intralinks secure documents into Power PDF, users encounter an error: ""Your PDF reader is not secure enough to display this document."
"Below instructions to create a button on each page; the Button takes the user back to the Table of Contents (TOC).
Step 1
- Open the document and scroll to the first place to add the button, click forms - button and drag to create a box.
General Tab:
value: TOC
Label: Table of contents
Options tab:
Set Behavior Outline,
Label Table of contents - label only.
Position tab - nothing required to change
Actions tab
- Set the following – Under Select Action – Go to a page View - Click on add – Move Scroll Bar to ToC Page and click anywhere [table of contents page] on the Create Go To View box Set Link and Click on close in Button Properties.
Double click on the button to display properties again and now it should show like this
Now click on the hand tool not the arrow; to see the button and test it on click.
Once it works scroll back from the table of contents to the regular starting page.
To duplicate this on every page; the right click on the newly created button in the 'arrow' select tool mode
and use this option on the right click to 'clone on each page'
Now the document will have the table of contents button added to all pages required and they can manually remove from ones they do not - for example- the actual table of contents page it goes to.","How to add recurring button in document, that has a link to a specific location within the document"
"Issue:
How to get PDF documents to open in Power PDF 5.0 at the same zoom level.
Solution:
There are (2) configuration locations within Power PDF to adjust the document size when opening PDF document using Power PDF 5.
1) Main setting within Power PDF 5 - Open Power PDF >> File >> Options >> General >> Page Display >> Default Zoom
2) Setting when opening PDF document - Open PDF document >> File >> Properties >> Advanced Properties >> Initial View >> Zoom
* Please note - The Document properties will take precedent over the Power PDF ""Default Zoom"" properties *",Configuration setting for Power PDF 5.0 to open PDF documents at 100%.
"To have Power PDF always set to printing on the long edge, it is not enough to set this in Power PDF print properties, it must be configured at the printer driver level to enable duplex with the flip on the long edge setting.
NOTE:
There is no Power PDF registry key or ini file setting to always enable long edge for duplex printing.
Power PDF pulls the setting this way to 'preset' the method of duplex printing as long as it is enabled at the device driver, however if the device driver does not have it enabled, when Power PDF enables it, the radio selection point is set to the short edge rather than the long edge by design.",Default Flip on Long Edge for Duplex Printing
"ISSUE:
When converting a word document to PDF, hyperlinks and email addresses are not appearing in blue font on the PDF as you would expect
Screenshot:
See the word document above, and the PDF created shows this issue displaying the content in the red box.
Solution:
This was something that can happen on demand and is a user not aware the option 'Replace document colors' when checked; will produce this issue when enabled inside of the power PDF accessibility settings.
To resolve this and return the display back; just Click on File - Options - Accessibility to click to turn this off.","When converting a word document to PDF, hyperlinks and email addresses are not appearing in blue font on the PDF"
"Information:
The below link will display the differences between PowerPDF version 5 Standard Edition and PowerPDF version 5 Advance Volume Edition.
https://www.kofax.com/-/media/files/solution-overview/en/comparision-ppdf5-standard-vs-advanced.pdf",Solution Comparison for Power PDF version 5 - Standard-vs-Advanced Volume
"Issue:
Intermittently PowerPDF Not Starting
How To Capture Logs for Support - Open Case with IMSupport@kofax.com after you captured logs:
We require the 32bit dmp file as soon as powerpdf.exe is hanging in task manager and will not start;
To capture the DMP file see the following: (attached as a PDF)",PowerPDF not starting - How To Capture Logs
"PowerPDF has a option ""Print with system default printer"" that can be set via the registry- or manually.
File > Options > General > Printer > Default Printer > select Print with system default printer > OK
Power PDF 4.1 and 5.0 - Registry key
System Default Printer
[HKEY_CURRENT_USER\Software\Kofax\PDF\Kofax Power PDF\Preference]
""PrintWithSysDefaultPrinter""=dword:00000001
Last Printer used
[HKEY_CURRENT_USER\Software\Kofax\PDF\Kofax Power PDF\Preference]
""PrintWithSysDefaultPrinter""=dword:00000000
version 3.1 and 4.0
- as well as older releases; Registry key:
System Default Printer
[HKEY_CURRENT_USER\Software\Nuance\PDF\Nuance Power PDF\Preference]
""PrintWithSysDefaultPrinter""=dword:00000001
Last Printer used
[HKEY_CURRENT_USER\Software\Nuance\PDF\Nuance Power PDF\Preference]
""PrintWithSysDefaultPrinter""=dword:00000000",Can PowerPDF be configured to use the system default printer?
"Issue:
PowerPDF version 5.0: Not seeing any files ZAutoSave folder after Kofax had closed unexpectedly
Solution:
If PowerPDF crashes, the AutoSave mechanism will not work until the PDF module below is end task in Task Manager
before
restarting PowerPDF (Reboot will also resolve issue). It will then get restarted when PowerPDF gets restarted and Auto Save should resume as normal.",PDF files are not Autosaving after PowerPDF had closed unexpectedly
"Within the Power PDF 5.0 Network Installation Guide, there is a section (pages 66 & 67) that supplies instructions on how to add this.
If you are unable to locate the addon.zip file, it is in the location where you unzipped the installation package. The path is (<install package path>\kofaxpowerpdfadvancedvolume-5.0.0\Tools\iManage server\addon).",How to Enable the Right-Click option in iManage Work 10
"Issue:
When setting the document profile default in Filesite (or Desksite) to override with using a specific author for new documents in imanage, Power PDF sets this incorrectly as the current operator is disregards this configuration.
Cause:
This setting is common when Assistants are working on behalf of an Attorney as the workflow requires; and default setting inside of powerPDF applies when no override exists to use the operator as the default author; which means we do not allow iManage to override this as it does for office applications and other PDF products out of the box.
Solution:
Create a setting override file which sets the DMS profile to allow iManage to override the default author; if required inside of PowerPDF too.
This is done using the following step; first create a file and save as PDFProDMS.ini, Include the following lines
[WorkSite]
IMPORT_PREFILL=0
Save this to C:\ProgramData\Kofax\PDFProDMS.ini
Once this is set; powerPDF pulls the author and metadata in use from the imanage default document profile as configured; and this setting can be pushed out to all users with the requirement to resolve the problem.",PowerPDF with Worksite9 integration is not prefilling the document author when saving a new document if a custom profile setting is sets a different author
Issue resolved in 4.1 fix pack 20 or higher.,Text was missing or not displayed in forms 990-EZ and DS-7002
"Resolved with power PDF 5.0 fix pack 12
​
Resolved with power PDF 4.1 fix pack 22
​",iManage Cloud script error appears when clicking on document properties in powerPDF
"Power PDF can be located at the fowling location:
Windows:
https://docshield.kofax.com/Portal/Products/en_US/PowerPDF/5.0.0-3uoz7ssq2b/PowerPDF.htm
MAC :
https://docshield.kofax.com/Portal/Products/en_US/PowerPDF/4.2.0-nfgf7crc1x/PowerPDFforMac.htm",Power PDF: Documentation Location
"Under view tab ""snap to grid"" was enabled under alignment.
Yhis setting causes the elements to only be placed on gridlines and this setting may be checked and forgotten about.
Also can be triggered with a keyboard shortcut
(
Shift+Ctrl+U
).
Please see click under the edit ribbon > under Alignment > click to uncheck snap to grid to resolve this issue.",When using the draw tools in powerPDF they appear placed up or down out of place after releasing the mouse
"This can be configured in the Customization kit under Document Processing. Under Stamp Settings, check ""Read stamps from a shared location:"" and enter the UNC path to the shared location. All users must have access to this location. A screenshot is attached.
If the software is already installed, you can set this centralized location by editing the following file: ""C:\ProgramData\Nuance\PDF\NuancePDF\Preferences\ProductConfig.ini"".
Open this file in notepad and at the end you should see the STAMP section - add the UNC path to the stamps folder here:
EXAMPLE:
[Stamp]
UseCommonStamp=1
CENTRALIZED_LOCATION=\\RO-MDYER-LT\temp
Stamps should be stored in this location in a folder named ""\ENU"" so in this example the stamps would be here: \\RO-MDYER-LT\temp\ENU\
Attachments:",How to configure Power PDF 2 to load stamps from a network location
"Please use the links below to browse to the desired location.
OmniPage Support
OmniPage Knowledge
Base articles",OmniPage Support Information
"Please use the links below to browse to the desired location.
Power PDF Support
Power PDF Knowledge Base articles",Power PDF Support Information
"Omtool has been notified of this issue. In the meantime, best practice is to either use PowerShell to delete the Default registry value or install the Accuroute desktop client after Power PDF.
Attachment
Ports.reg.txt
(956 bytes)","After installation of Power PDF and reboot of a Windows 7 or Windows 10 workstation, the Power PDF NUL printer port disappears"
"On the workstation, they have to put the attached following file, ""PDFProDMS.ini "" in the following location: %ALLUSERSPROFILE%\Nuance (this is usually C:\ProgramData\Nuance)
This file contains the following command which set the filter to be blank:
[WorkSite]
PDFOPENFILTERAPPID="" ""
Note, if they already have this file in place already, add this line to any existing lines in the file.
Attachments:
iManage file open options.jpg (69 KB)
PDFProDMS.ini (34 BYTES)","How to change the Filter Conditions, Type in iManage to default to all files when opening a pdf from PowerPDF?"
"This is set in the registry
Nuance Convert Assistant--> Store in Document Management System--> DMS
When you load a document > Select the Word > there is an option to store in DMS and not keep a local copy.
Registry key for Keeping local copy.
HKEY_CURRENT_USER\Software\Nuance\PDF\V1\General
0 is off and 1 is on
For Power PDF 2.1 the Registry key for DMS is:
HKEY_CURRENT_USER\Software\Nuance\PDF\V1\DMS
Do not Store ffffffff
Dropbox 0
Evernote 1
iManage Work 2
SharePoint 3
This is the same registry key in Power PDF 3.0, but the values have changed to reflect the current DMS list
HKEY_CURRENT_USER\Software\Nuance\PDF\V1\DMS
Do not Store ffffffff
Evernote 0
iManage 1
iManage Work 2
OnBase 3
SharePoint 4
Attachments:
DMS.docx (42 KB)",How to change the default in Power PDF Convert Assistant save to DMS instead of Local Drive?
"Nuance PowerPDF 2.1 uses the following commands in the registry key of [HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Interwoven\WorkSite\Client\FileSite\Commands\Menus\Document]
""NPDFImanAddon.OpenInPro@Open in Nuance, NPDFImanAddon.CreatePDF""
To manually enter the references for the file-level commands:
Navigate to: HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Interwoven\WorkSite\Client\FileSite\Commands\Menus\Document
NOTE: If you are having an issue with DeskSite, replace ""FileSite"" in the key above with ""DeskSite"".
Backup the registry key. (Right-click the registry key, click Export, and choose a known location to save it. This is just in case!)
In the Registry Editor, browse to [HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Interwoven\WorkSite\Client\FileSite\Commands\Menus\Document] and double-click the Commands value name in the right-hand pane. If the following Nuance commands above do not exist in Value data, add it to the location of your choice (the order of the commands in Value Data dictate the order of commands in the context menu). The commands are delimited by commas.
EXAMPLE WITH POWERPDF: ""NPDFImanAddon.OpenInPro@Open in Nuance, NPDFImanAddon.CreatePDF"",iManExt3.NewOpenCmd,iManExt.OpenROCmd,iManExt.PrintCmd,iManExt.ViewCmd,iManExt.QuickViewCmd,@20026,-,iManExt.SendDocCopyCmd,SendNrl/Url,iManExt.CheckoutCmd,iManExt.CheckinCmd,iManExt.ExportCmd,-,IManExt2.IManRefileCmd,IManExt2.IManMoveContentsCmd,Copy,-,iManExt.PurgeCmd,iManExt.UnlockCmd,iManExt.DeleteCmd,-,@33700,Utilities,@304,-,
IManExt2.IManCreateShortcutsCmd@309,...ToFavoritesCmd
@33989,-,iManExt3.FreezeDocumentCmd,iManExt3.UnFreezeDocumentCmd,DocINFO,IManExt3.FixShortcutCmd,IManExt2.IManPropertiesCmd
In the example above, I added the Nuance commands to the beginning of the list so that they show toward the top of the list when you right-click on the file in Desksite.
An example of the registry is attached, ""iManage right click commands example.reg.txt""
Note: the specific registry key may change depending on how the iManage software is installed. For example, this key is strictly the outlook right click for filesite.
[HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Interwoven\WorkSite\Client\FileSite\Commands\Menus\Document]
""Commands""=
Note: these have changed since PowerPDF 2.0
In PowerPDF 2.0, the commands are:
NPDFIManAddon.OpenInPro,NPDFIManAddon.CreatePDF,NPDFIManAddon.OpenInCnv,
Attachments:
iManage right click commands example.reg.txt (3 KB)",How to manually create Right Click options for PowerPDF 2.1 in iManage Filesite or DeskSite.
"Here are the basic steps to password protect a PDF document in Nuance PowerPDF v1.1
Open the document in Nuance PowerPDF v1.1 and select the Security tab from the menus.
Select Security on the right to open the Security panel.
Double Click on ""Interactive"" to assign security to this document.
You will see a message asking ""are you sure you want to change the security settings of this document?"" - click OK to continue.
The Password Security Options window will open. Check the box by ""Allow document opening only by password"", Set a password in the Document Open Password window.
A window will open up and require you to verify the password - enter the same password again.
A message will come up verifying security has been set on this document.
Once the document is saved, you will have to enter the password to open the document.
There are additional options available for passwords.
Power PDF allows you to place password protection on the following items:
PDF documents
Envelopes containing a set of PDF files and optionally other types of file
Packages prepared by PDF Create containing a set of PDF files
Portfolios prepared by Power PDF containing PDF files and optionally other types of file.
PDF files in envelopes, packages and portfolios may have their own passwords.
The advantage of placing a password on an envelope or a portfolio is that it offers protection to non-PDF files that themselves cannot be protected by passwords.
Note: Passwords cannot be applied to documents containing a digital signature.
There are two types of password:
Open Password
People with this password can open the document. If the document has no permissions password, the PDF, once opened can be used freely. If it has a permissions password set, a person with only the Open password can view the set of permitted and prohibited actions but cannot modify them.
Permissions Password
People with this password can open the document, view its permitted and prohibited actions and modify or clear them, also change passwords or remove one or both of the passwords.
Power PDF has no particular requirements for passwords; a good password contains at least six characters, is not easily guessed and has a mix of letters, numbers and symbols. Password use demands careful management, without a valid password the document can no longer be opened.
For more information, please consult the help menus within the PowerPDF program.
A Word document with screenshots of the settings is attached that can be distributed to clients.
Attachments:
How to password protect a PDF in Nuance PowerPDF v1.1.docx (158 KB)",How to password protect a PDF in Nuance PowerPDF v1.1
"Filesite does not use the default application icon like Desksite and instead requires you to install the icons. Attached are the Power PDF icon files; these will need to be manually copied to ""Program Files (x86)\Interwoven\FileSite\iOutlook\Config\""
Advise the client to contact iManage for specifics on installing these icon files in Filesite.
Attachments:
NuancePDF_0000.ico (49 KB)
NuancePDF_0001.ico (42 KB)
NuancePDF_0003.ico (49 KB)
NuancePDF_0004.ico(42 KB)",Icons in iManage FileSite show as Adobe even though PowerPDF is the PDF application
"According to development Power PDF does not authenticate directly to the NetDocuments server. Power PDF calls the NetDocuments COM SDK which is located in the installed ndOffice, so for login and for authentication too.
According to the information from NetDocuments, Power PDF is as compatible as the installed ndOffice client.
REFERENCE:
https://vault.netvoyage.com/neWeb2/d...tdocuments.com
This reference document is attached.
Attachments:
NetDocuments OAuth Upcoming Changes.docx
(37 KB)","Is_Power PDF_compliant_with the OAuth change being introduced with NetDocuments ndWeb 18 set to be release October 11th, 2018?"
"Information:
Using Power PDF - the following is how to disable Auto-Numbering when converting a PDF with a numbered list to a MS Word Document.
This is the way to disable Auto-numbering in the conversion:
The user can switch off Auto Numbers by using the ""C:\ProgramData\Nuance\PDF\PDFConv.ini"" file.
If it contains this line: ""AutoNumbers = false"". it disables the searching of auto numbers.
If this file does not exist, create it in notepad.
A sample is attached.
Attachments:
PDFConv.ini (19 BYTES)",Power PDF - How to disable Auto-Numbering when converting a PDF with a numbered list to a MS Word Document
"Information:
How to set up Power PDF 2.0 for Stylus use on Surface Tablet
Please see the attached document for the steps with screen captures.
Go to Customize Quick Access Tool Bar / More Commands
Add Active Markup and Draw Tools and Touch/Mouse Mode if they are not there.
Open up a PDF document to be marked up.
Change the Touch/Mouse mode to Touch.
Go to the Text Markup Tool and select Text Markup Tool. (Also selectable under Comments tab)
Go to the Draw Tools and Select Pencil. (Also selectable under Comments tab)
Select the color and size of the line from the box on the document.
Draw with the Stylus. Close the dialog box and save the new document.
Attachments:
Stylus Use.docx (281 KB)",Power PDF 2.0 - How to set up Surface tablet for stylus use
"Information:
How to convert Word to PDF in ""Compatibility Mode""
Compatibility Mode, when the user goes to save a PDF as a Word Document, they can click on ""Settings"" (red arrow) and then uncheck ""Generate Office 2007/2010 output"" (Green Arrow). This is on by default. Unchecking this will tell the conversion to use the newer Office format and the output should not show as in ""Compatibility Mode"" in MS Word, but the documents created may not be compatible with earlier versions of MS Word.
For existing Word Documents that do show ""Compatibility Mode"", in Word, you can simply click on File, Info and click on ""Convert"" to convert the document into the newer format.
Please see both attached documents.
Attachments:
Ms Word.png
(306 KB)
Ms Word1.png
(174 KB)","Power PDF 2.1 - How to convert Word to PDF in ""Compatibility Mode"""
"Information:
How to Disable Windows Desktop Search Integration in Power PDF 2.1
This Windows Desktop Search Integration is optional at time of install.
It allows users to search from Windows search to find key words in pdf's.
This can be disabled via PowerPDF or stop the service ""NPDFIFilterSrv"" please see attachement
C:\Program Files (x86)\Nuance\Power PDF 21\NPDFIFilterSrv.exe
This can also be done in the registry by going to HKLM\SYSTEM\CurrentControlSet\services\NPDFIFilterSrv and setting the Start to ""4"" (disabled)
Here is a sample .reg file to do this:
Windows Registry Editor Version 5.00
[HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\services\NPDFIFilterSrv]
""Start""=dword:00000004
Note the registry change will not take effect until the workstation is restarted.
Attachments:
Capture.PNG (44 KB)
Capture1.PNG (23 KB)",Power PDF 2.1: How to Disable Windows Desktop Search Integration
"Turn off Enable Enhanced Protection Mode under Advanced settings in Internet Explorer 11, then restart Internet Explorer. A screen shot of this setting from IE 11 is attached to this article.
Attachment:
24116.JPG
(86 KB)",Power PDF integration toolbar not showing up in Internet Explorer 11
"This can happen when the original is a very rare type of non-standard formatted document. This issue is because this file contains fonts with ""non-standard encoding"". A program without OCR cannot recognize the correct character codes, which is why converting the document to an Editable document shows strange characters. Adobe Acrobat has the same issues with this document.
Here is a workaround to enable you to edit documents like this:
From the HOME tab, click on ""Make PDF Searchable"" and select ""Make PDF Searchable"".
In the Convert Pages Window, click on Settings.
Uncheck Keep original images if it is checked.
Under Process Pages, uncheck ""Process documents using OCR"" and check ""Recognize non-standard encoded pages"". It should look like the attached screenshot, ""Searchable PDF Conversion Settings.png""
Click ""OK"" to save the settings and then click ""OK"" again to process the document.
Now you should be able to select the ""Edit"" tab, ""Convert to Editable"", ""Document"" and ""Convert"" and it will create a legible editable document.
Attachments:
Searchable PDF Conversion Settings.png (61 KB)",PowerPDF - Document converts to strange characters when you converted to editable document
"This can be corrected in the PDFProDMS.INI file
The following two lines to be added to PDFProDMS.INI file (located under %programdata%\nuance which is typically C:\ProgramData\Nuance\):
[WorkSite]
ALLOW_REPLACEORIGINAL=1
If this ini file does not exist there, please just create one with these two lines. A sample is attached.
Attachments:
PDFProDMS.ini (39 BYTES)",PowerPDF 2 - Replace Original option grayed out when saving a PDF to iManage
"You must install Power PDF Advanced 2.x, 3.0 or earlier releases and copy the attached PDFProDMS.ini file to the ""C:\Program Data\Nuance"" folder on each workstation to resolve this.
Note: In Kofax Power PDF 3.1, 4.0, 4.1 and 5.0 and later releases the location of this specific set of ini settings must be saved to, ""C:\Program Data\Kofax""
Ensure on the eDocs server in the application launch settings that the integration is set to ""Full Integration"" and then apply and close.
DDE is disabled in the Integration.
This .ini file contains the following lines
[Hummingbird]
Use_PDF_Printer=1
This example screenshot is for Kofax Power PDF 3.1
Attachments:
DDE settings for eDocs.docx (145 KB)
PDFProDMS.ini (32 BYTES)",Printing from OpenText DM 10 or 16 using PowerPDF without having to open the documents
"This can be due to a known difference between the way Power PDF and Adobe Acrobat handle instances where the search term appears twice consecutively in a document. Power PDF returns each instance of the word as a separate search result. Adobe Acrobat returns the two consecutive results as one counted result.
In this instance, we believe that we return the more accurate result and there are no plans to change our search to match the Adobe method.
Attached is a sample document to illustrate this issue (Extracted Page 25.pdf), and screenshots of the results in both Nuance Power PDF and Adobe Acrobat.
Attachments:
Extracted Page 25.pdf (23 KB)
screenshot of search results of Page 25 in Adobe.png (398 KB)
screenshot of search results of Page 25 in Power PDF.png (428 KB)",Search results show a different count between Power PDF and Adobe Acrobat
"This can happen if the necessary registry keys were not generated when Power PDF was installed. Sometimes Windows Security prevents our software from modifying the registry during the installation. The resolution is to manually create the necessary registry keys.
Attached is a .reg file that creates the necessary registry keys for v3.0. Please note that this file contains the path to the installation folder for Power PDF in two places and it may need to be modified to match the path at the client site. Specifically, the newest installation of Power PDF 30 puts two spaces between ""Power PDF"" and ""30"". Be sure the path matches the system on which you are using this file.
Installation Instructions
The file has a .txt at the end so it can be edited and emailed - remove this extension and click on the .reg file to merge it into the registry of the workstation. Once the registry file is loaded, open taskmanager and restart Windows Explorer. The previews should be working now.
Attachment Contents:
Windows Registry Editor Version 5.00 [HKEY_CLASSES_ROOT\CLSID\{4DBC4CE6-11BD-4CF3-A32B-C7ED70C0D8FA}] @=""zeonPDFPreviewHandler"" ""AppID""=""{6d2b5079-2f0b-48dd-ab7f-97cec514d30b}"" ""DisplayName""=""@C:\\Program Files (x86)\\Nuance\\Power PDF 30\\bin\\zPreview_x64.dll,-101"" ""DisableLowILProcessIsolation""=dword:00000001 [HKEY_CLASSES_ROOT\CLSID\{4DBC4CE6-11BD-4CF3-A32B-C7ED70C0D8FA}\InprocServer32] @=""C:\\Program Files (x86)\\Nuance\\Power PDF 30\\bin\\zPreview_x64.dll"" ""ThreadingModel""=""Apartment"" [HKEY_CLASSES_ROOT\.PDF] @=""NuancePDF.Document"" ""Content Type""=""application/pdf"" ""PrevApp""=""AcroExch.Document"" [HKEY_CLASSES_ROOT\.PDF\OpenWithList] @="""" [HKEY_CLASSES_ROOT\.PDF\OpenWithList\AcroRd32.exe] @="""" [HKEY_CLASSES_ROOT\.PDF\OpenWithList\Winword.exe] @="""" [HKEY_CLASSES_ROOT\.PDF\OpenWithProgids] @="""" ""AcroExch.Document.DC""=hex(0): ""AppXd4nrz8ff68srnhf9t5a8sbjyar1cr723""=hex(0): ""ChromeHTML""="""" [HKEY_CLASSES_ROOT\.PDF\PersistentHandler] @=""{AC3F43A5-F19D-4452-98D1-0D07587B1BBE}"" [HKEY_CLASSES_ROOT\.PDF\shellex] [HKEY_CLASSES_ROOT\.PDF\shellex\{8895b1c6-b41f-4c1c-a562-0d564250836f}] @=""{DC6EFB56-9CFA-464D-8880-44885D7DC193}"" ""PrevPreviewHandler""=""{4DBC4CE6-11BD-4CF3-A32B-C7ED70C0D8FA}"" [HKEY_CLASSES_ROOT\.PDF\shellex\{E357FCCD-A995-4576-B01F-234630154E96}] @=""{21F5E992-636E-48DC-9C47-5B05DEF82372}"" ""PrevThumbnailHandler""=""{A4A41054-7D08-41CD-9CAA-CF95329F6E75}""
Attachment:
PDF preview.reg.txt
(3 KB)",Unable to preview PDF files in Windows 10 Explorer or MS Outlook with Power PDF v3.0
"This executable is part of the ""Watched Folders and Scan Inboxes"" feature in PowerPDF. A Scan Inbox is a specific type of watched folder: to browse to the scan target folder of your scanning device and identify it as your scan inbox to receive notifications on incoming files.
You set the scan inbox folder at File --> Options --> Automation --> Watched Folder. Screenshot is attached to this article.
There is no automatic file conversion involved in this functionality. When you access your incoming scans you open them from this dedicated folder or browse this folder from inside Power PDF.
When this functionality is enabled in Power PDF, the inboxmonitor.exe is the program that runs in the taskbar to monitor the defined inbox and provide the notification when a new file arrives. It is located at C:\Program Files (x86)\Nuance\Power PDF.
If you do not want the inboxmonitor.exe running, you can disable the scanbox notification by simply unchecking ""Enable Scan Inbox Notification"" in Options - Automation. Or, it is controlled by this registry key:
Windows Registry Editor Version 5.00
[HKEY_CURRENT_USER\Software\Nuance\PDF\V1\Inboxes\ScanToDesktop]
""Notify""=dword:00000000
0 = disable / 1 = enable
Attachments:
25636.JPG (67 KB)",What does the inboxmonitor.exe executable in Power PDF do
"Nuance Power PDF provides a variety of automation interfaces. These interfaces provide a wide range of functionality to control the application itself, manage and manipulate PDF documents, their properties, pages and annotations.
Attached is the Nuance Power PDF 3.x OLE Automation interface documentation. This provides a description of the interfaces available and sample code.
Please note that this information is provided for use by client programmers and we cannot directly support any modifications made to the software, such as syntax's developed using the above guides on our side, as we do not support third party automation tools use in conjunction with our software. You assume all risk and document losses could occur if the syntax is developed incorrectly with PDF documents involved. All customization and testing that has to be done, is solely up to the customers.
Attachments
:
Power PDF 3.x Automation interface.pdf (1026 KB)",Power PDF 3.x - Where can I find information on the automation interfaces?
"Issue:
When opening a PDF in IE it will display oddly, and then say Power PDF has stopped working. This issue happens intermittently.
Resolve:
Check display settings, if one make sure display settings do not exceed 100% on either of the displays
More info: According to ZEON this is due to a limitation of the basic framework of PPDF 2.1, we can't change the window size between screens.
It is fixed in PPDF 3.0. PPDF 3.0 18252.1100",Bad UI display when opening PDFs in IE on dual screen monitors Power PDF 2.1
"If this option is disabled on the customization kit however, and then published into a folder when it was deployed from, it will not include the component of the software for Java. We can not recheck the checkmark by a registry change or by manually trying to enable it as it was grayed out and it restricts our avbility to re-enable this option.
If that the organization requires to enable java script, we will have to require that the software be extracted, freshly from ""Power PDF Advanced Volume.exe""
and then Navigating to the folder ""C:\\Tools\CustomKit"" to proceed to perform the customization steps again and follow through the steps laid out in our documentation for the Network Installation Guide, contained in the Doc subfolder.",Can we enable Javscript inside of Nuance power PDF 2.0 after an customized deployment with it disabled
"It is recommended to either convert the file using the ""File > Save As Nuance PDF"" or ""File > Export > Create Nuance PDF"" path. Note: the ""File > Save As Nuance PDF"" feature is new to the version 3 of the product.",Chemical formulas are not properly printed to PDF from Microsoft Word
"Pre sort the documents before combining and then use shift + click to select all files, then right click on the first file in the list and select ""Combine files as one PDF"". Note that if you right click on any other file in the group the files will be combined starting at that file and not the first file.",Combining multiple documents into one PDF in order
"Run a Repair on Office from ""Programs and Features"" using the ""Change"" option","Convert Error: ""Docx, There is no associated application installed"""
This is a known issue with Windows 10 security preventing our application from setting itself as the default application for PDFs. The only solution in this case is to manually change this association in Windows.,Default PDF application not changed to Power PDF on Windows 10
This is not supported in the current build of PowerPDF 2.0.,Does PowerPDF 2.0 support Azure RMS?
"No, PowerPDF does not currently support AutoCad .dwg image files?
This has been submitted as an Enhancement Request to Product Management.",Does PowerPDF support AutoCad .dwg image files?
"Interface: nuanceimaging
Download fails, getting errror: the signature of this file is corrupt or invalid""

Method 1: Disable software with invalid signature to run in Internet Explorer
a) Open Internet Explorer browser from Desktop.
b) From the menu bar select Tools SelectInternet Options.
c) In the Internet Options window, select Advanced tab.
d) Scroll down and un-check the Allow software to run or install even if the signature is invalid 
e) Click OK to save the settings. Then close the Internet Options window.

If the issue persists, try resetting the Internet Explorer and check if the issue persists.","Download fails, getting errror: the signature of this file is corrupt or invalid"""
"This is as designed.
When Page View is open you move your mouse cursor over the page number then click and drag into the desired pdf that is open.
Dragging the page when it's highlighted in red does not copy it into the desired pdf.",Drag and dropping 1 page PDF into another 1 page PDF does not work
"As a workaround use File / Open / DropBox and File / Save As / Dropbox. These options still work because they does not use the connector, but instead uses the Dropbox desktop client's sync folder directly.
Connectors /-Dropbox; any Open or Save dialog no longer works.
Open from DMS - Dropbox or Save to DMS - Dropbox no longer works.
Reference:
https://blogs.dropbox.com/developers...v1-deprecated/",Dropbox connector not working in Power PDF
"Issue:
If a user views a doc on the secondary monitor the pages are blank, skewed or blurred but if the doc is moved over to the primary monitor it views perfectly.
Resolve:
Microsoft released a patch for the issue on Sept 12 with KB403877.
Reference:
https://support.microsoft.com/en-us/...date-kb4038777",Dual monitor issues in Windows with PDF software
"-OR-
Install software from the setup.exe file (doing this will allow the software to detect the missing prerequisites and install them)
Install the prerequisites from the Prerequisite folder on the installation file as an additional installation(in the case of a silent install)","ERROR ""Registrycontroller.exe has stopped working"" when starting up Power PDF 2.0"
"This is a known issue with OLE embedded objects with MS Office. When you embed an object into an Office Document, Microsoft embeds the program information for the source program. So, if you embed a file from Power PDF, you must have Power PDF to open the file. You will have the same issue with any PDF program that is not Adobe if the recipient only has Adobe Reader. You would see the same error message if you double-click a bitmap image object in a Word document on a workstation that does not have MS Paint.
You can google that error message and see more information on this from Microsoft. Unfortunately, there is nothing we can do about that on our end, other than recommend avoiding embedded objects. The client should consider using a PDF portfolio that contains the Word document and the PDF.","Error ""The server application, source file, or item cannot be found"" when trying to open an embedded PDF from Power PDF in a Word Document on a computer that does not have Power PDF installed"
"Run the hotfix as Administrator to install it. This message ""Could not locate any Nuance Power PDF Products compatible with this patch."" appears when the user does not have rights to install.",Error Installing Nuance Power PDF 2.0 Hotfix
"PowerPDF reads this registry key when it goes to launch MS word: HKClassesRoot\Word.Document.12\shell\Open\command\(Default)
For example, on a workstation which is running office 365, here is the value in this key:
Windows Registry Editor Version 5.00
[HKEY_CLASSES_ROOT\Word.Document.12\shell\Open\command]
@=""\""C:\\Program Files (x86)\\Microsoft Office\\Root\\Office16\\WINWORD.EXE\"" /n \""%1\"" /o \""%u\""""
Please have the client correct this registry key everything should work fine.",Error finding WINWORD.EXE when trying to convert a PDF to Word using Power PDF
Tis is a 3rd party module issue. The message text comes from a 3rd party module. Adobe Arobat shows the same issue.,Error message occurs when attempting to print multiple copies of a FileOpen secured document
